_id,case_no,ap_case_defn_key,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
18,V897919,1013,2026-03-20 08:08:21,Open,102.8,N/A,Maintenance,158,,Harvard,ST,Dorchester,MA,02124,14,158 HARVARD ST,,DORCHESTER,MA,02124,70792,42.2961400005653,-71.08163000174149,"(42.2961400005653, -71.08163000174149)"
19,V844949,1013,2026-03-19 09:30:33,Open,105.1,N/A,Failure to Obtain Permit,9,,Romsey,ST,Dorchester,MA,02125,13,98 Washington St,,Newton,MA,02458,118198,42.31609000017293,-71.05627000181487,"(42.31609000017293, -71.05627000181487)"
20,V885761,1013,2026-03-19 08:21:12,Open,102.8,N/A,Maintenance,50,62,Bryon,RD,West Roxbury,MA,02467,20,62 BRYON RD,,CHESTNUT HILL,MA,02467,343175,42.3010656802832,-71.16752434866488,"(42.3010656802832, -71.16752434866488)"
21,V887959,1013,2026-03-19 08:19:37,Open,105.1,N/A,Failure to Obtain Permit,198,200,Brooks,ST,East Boston,MA,02128,01,72 BORDER RD,,NEEDHAM,MA,02492,162658,42.38031240640477,-71.03626658318821,"(42.38031240640477, -71.03626658318821)"
22,V869260,1013,2026-03-19 08:18:10,Open,105.1,N/A,Failure to Obtain Permit,132,,Bremen,ST,East Boston,MA,02128,01,6 Bennet St,,Cambridge,MA,02138,19775,42.371840000114446,-71.03568000176922,"(42.371840000114446, -71.03568000176922)"
23,V885374,1013,2026-03-19 08:14:27,Open,105.1,N/A,Failure to Obtain Permit,628,,American Legion,HW,Roslindale,MA,02131,18,450 Lexington St,Suite 201,Newton,MA,02466,172176,42.285139170660734,-71.11000577119334,"(42.285139170660734, -71.11000577119334)"
24,V897589,1013,2026-03-18 15:37:24,Open,102.8,N/A,Maintenance,240,,Marlborough,ST,Boston,MA,02116,05,240 MARLBOROUGH,,BOSTON,MA,02116,90718,42.35178999953787,-71.08179000185727,"(42.35178999953787, -71.08179000185727)"
25,V897582,1013,2026-03-18 15:26:12,Open,102.8,N/A,Maintenance,6,,Marlou,TE,Jamaica Plain,MA,02130,19,6 MARLOU TE,,JAMAICA PLAIN,MA,02130,91630,42.31247000008104,-71.10882000081895,"(42.31247000008104, -71.10882000081895)"
26,V897548,1013,2026-03-18 13:01:49,Open,102.8,N/A,Maintenance,13,17,Oxford,ST,Boston,MA,02111,03,10 Oxford Street,,Boston,MA,02111,106203,42.35192565440403,-71.06060535359597,"(42.35192565440403, -71.06060535359597)"
27,V897435,1013,2026-03-18 08:46:19,Open,105.1,N/A,Failure to Obtain Permit,161R,,Savannah,AV,Mattapan,MA,02126,18,161 SAVANNAH AV,,MATTAPAN,MA,02126,441873,42.273453454833614,-71.10189214330119,"(42.273453454833614, -71.10189214330119)"
28,V897432,1013,2026-03-18 08:33:38,Open,102.8,N/A,Maintenance,6,,Capen,ST,Dorchester,MA,02124,17,6 CAPEN ST #2,,DORCHESTER,MA,02124,25836,42.283799999591615,-71.0807400005302,"(42.283799999591615, -71.0807400005302)"
29,V897293,1013,2026-03-17 14:14:28,Open,105.1,N/A,Failure to Obtain Permit,64,,Undine,RD,Brighton,MA,02135,22,23 EDGEHILL RD,,STOW,MA,01775,138990,42.34294000019949,-71.16778000191489,"(42.34294000019949, -71.16778000191489)"
30,V897285,1013,2026-03-17 13:40:51,Open,105.1,N/A,Failure to Obtain Permit,64,,Undine,RD,Brighton,MA,02135,22,23 EDGEHILL RD,,STOW,MA,01775,138990,42.34294000019949,-71.16778000191489,"(42.34294000019949, -71.16778000191489)"
31,V897218,1013,2026-03-17 10:25:44,Open,105.1,N/A,Failure to Obtain Permit,3690,,Washington,ST,Jamaica Plain,MA,02130,11,3686 WASHINGTON ST,,BOSTON,MA,02130,421318,42.30085685592773,-71.11237501194202,"(42.30085685592773, -71.11237501194202)"
32,V897206,1013,2026-03-17 09:33:54,Open,105.1,N/A,Failure to Obtain Permit,95,99,Kneeland,ST,Boston,MA,02111,03,99 Kneeland Street,,Boston,MA,02111,344001,42.34993384581058,-71.0601090151868,"(42.34993384581058, -71.0601090151868)"
33,V897191,1013,2026-03-17 09:12:58,Open,104.6,N/A,Right of Entry,197,,Cambridge,ST,Allston,MA,02134,22,95 CENTRAL ST,,NORWELL,MA,02061,25090,42.35846000049436,-71.12550000058954,"(42.35846000049436, -71.12550000058954)"
34,V896460,1013,2026-03-12 11:31:06,Open,105.1,N/A,Failure to Obtain Permit,8,,Silloway,ST,Dorchester,MA,02124,16,8 silloway st,,dorchester,MA,02124,127377,42.29536999965839,-71.06231000074148,"(42.29536999965839, -71.06231000074148)"
35,V896442,1013,2026-03-12 10:48:52,Open,116,N/A,Unsafe Structures,683,,Columbia,RD,Dorchester,MA,02125,07,198 SACO AVE,,OLD ORCHARD BEACH,ME,04064,35361,42.31953000048808,-71.06236000066538,"(42.31953000048808, -71.06236000066538)"
36,V896419,1013,2026-03-12 09:58:47,Open,105.1,N/A,Failure to Obtain Permit,40,,Vernon,ST,Hyde Park,MA,02136,18,40 VERNON ST,,HYDE PARK,MA,02136,140089,42.25103000029804,-71.14085000130653,"(42.25103000029804, -71.14085000130653)"
37,V895644,1013,2026-03-11 14:37:35,Open,102.8,N/A,Maintenance,56,72,School,ST,Boston,MA,02108,03,56-72 School St,,Boston,MA,02108,158012,42.35777801341613,-71.06010976910419,"(42.35777801341613, -71.06010976910419)"
38,V896198,1013,2026-03-11 12:30:21,Open,105.1,N/A,Failure to Obtain Permit,13,,Littledale,ST,Roslindale,MA,02131,18,15 LITTLEDALE ST,,ROSLINDALE,MA,02131,86780,42.27367000064811,-71.12470000150873,"(42.27367000064811, -71.12470000150873)"
39,V896146,1013,2026-03-11 09:42:14,Open,105.1,N/A,Failure to Obtain Permit,21,,Wabon,ST,Dorchester,MA,02121,12,21 Wabon St,,Dorchester,MA,02121,141061,42.31466000033319,-71.08579000102152,"(42.31466000033319, -71.08579000102152)"
40,V896140,1013,2026-03-11 09:32:35,Open,104.6,N/A,Right of Entry,21,,Wabon,ST,Dorchester,MA,02121,12,21 Wabon St,,Dorchester,MA,02121,141061,42.31466000033319,-71.08579000102152,"(42.31466000033319, -71.08579000102152)"
41,V896137,1013,2026-03-11 09:26:22,Open,105.1,N/A,Failure to Obtain Permit,148,,Fairmount,ST,Dorchester,MA,02124,17,148 Fairmount St,,Dorchester,MA,02124,55782,42.279609999670086,-71.07759000118843,"(42.279609999670086, -71.07759000118843)"
42,V858117,1013,2026-03-10 11:32:42,Open,Article 4 Section 4-3,N/A,No use of premises permit:,4,,Brinsley,ST,Dorchester,MA,02121,14,4 Brinsley St,,Dorchester,MA,02121,20434,42.30479000005535,-71.07918000089374,"(42.30479000005535, -71.07918000089374)"
43,V858113,1013,2026-03-10 11:30:38,Open,105.1,N/A,Failure to Obtain Permit,4,,Brinsley,ST,Dorchester,MA,02121,14,4 Brinsley St,,Dorchester,MA,02121,20434,42.30479000005535,-71.07918000089374,"(42.30479000005535, -71.07918000089374)"
44,V895639,1013,2026-03-09 09:46:04,Open,105.1,N/A,Failure to Obtain Permit,130,,Bird,ST,Dorchester,MA,02125,13,130 BIRD ST,,DORCHESTER,MA,02125,15707,42.31310999969132,-71.07200000047881,"(42.31310999969132, -71.07200000047881)"
45,V895636,1013,2026-03-09 09:33:01,Open,105.1,N/A,Failure to Obtain Permit,62,,Alexander,ST,Dorchester,MA,02125,13,62 ALEXANDER ST,,DORCHSTER,MA,02125,1987,42.31674999986257,-71.06978000065519,"(42.31674999986257, -71.06978000065519)"
46,V895616,1013,2026-03-09 08:11:39,Open,105.1,N/A,Failure to Obtain Permit,74R,,Spring Park,AV,Jamaica Plain,MA,02130,19,18 WASHINGTON ST #6,,CANTON,MA,02021,129719,42.316709999293444,-71.10794000140821,"(42.316709999293444, -71.10794000140821)"
47,V895374,1013,2026-03-06 15:55:27,Open,105.1,N/A,Failure to Obtain Permit,137,,Park,DR,Boston,MA,02215,05,99 WESTLAND AVE,,BOSTON,MA,02115,106737,42.341620000566415,-71.09810000195529,"(42.341620000566415, -71.09810000195529)"
48,V895312,1013,2026-03-06 09:10:31,Open,102.8,N/A,Maintenance,17,,Perkins,AV,Hyde Park,MA,02136,18,17 Perkins Ave,,Hyde Park,MA,02136,109337,42.25574000015309,-71.12884000161424,"(42.25574000015309, -71.12884000161424)"
49,V895305,1013,2026-03-06 09:08:56,Open,105.1,N/A,Failure to Obtain Permit,775,781,Centre,ST,Jamaica Plain,MA,02130,19,30 ADAMS ST,,MILTON,MA,02186,28202,42.309980829860926,-71.11552012215667,"(42.309980829860926, -71.11552012215667)"
50,V895310,1013,2026-03-06 09:03:12,Open,105.1,N/A,Failure to Obtain Permit,969,,Canterbury,ST,Roslindale,MA,02131,18,208 Duncan Ave,,Jersey City,NJ,07306,25543,42.27858999941884,-71.11818000116932,"(42.27858999941884, -71.11818000116932)"
51,V895307,1013,2026-03-06 08:55:58,Open,102.8,N/A,Maintenance,132,,Greenfield,RD,Mattapan,MA,02136,18,132 Greenfield rd,,Mattapan,MA,02126,66549,42.269129999803916,-71.10420000103284,"(42.269129999803916, -71.10420000103284)"
52,V895290,1013,2026-03-06 08:21:08,Open,105.1,N/A,Failure to Obtain Permit,16,,Melrose,ST,Boston,MA,02116,05,16 Melrose St,Unit 1,Boston,MA,02116,93938,42.349379999985445,-71.0677300010498,"(42.349379999985445, -71.0677300010498)"
53,V895174,1013,2026-03-05 10:39:53,Open,105.1,N/A,Failure to Obtain Permit,18,,Eldora,ST,Mission Hill,MA,02120,10,28 BROOKS ST,,BRIGHTON,MA,02135,52627,42.33132999980272,-71.10841000107433,"(42.33132999980272, -71.10841000107433)"
54,V895117,1013,2026-03-05 07:54:01,Open,110.26,N/A,Working Space,131,,Boston,ST,Dorchester,MA,02125,07,210 UNION WHARF,,BOSTON,MA,02109,17086,42.32521000049511,-71.05942000107368,"(42.32521000049511, -71.05942000107368)"
55,V895017,1013,2026-03-04 15:43:59,Open,105.1,N/A,Failure to Obtain Permit,2359,,Washington,ST,Roxbury,MA,02119,09,2371 Washington St,,Boston,MA,02119,144492,42.32951699846308,-71.08478677618302,"(42.32951699846308, -71.08478677618302)"
56,V894875,1013,2026-03-04 08:50:22,Open,105.1,N/A,Failure to Obtain Permit,24,,Walton,ST,Dorchester,MA,02124,17,812 Morton St,,Mattapan,MA,02126,170921,42.2876760713248,-71.0703254251932,"(42.2876760713248, -71.0703254251932)"
57,V894673,1013,2026-03-03 09:51:24,Open,105.1,N/A,Failure to Obtain Permit,17,19,Greymere,RD,Brighton,MA,02135,22,19 Greymere Rd,,Boston,MA,02135,67226,42.348414999727886,-71.16295100086121,"(42.348414999727886, -71.16295100086121)"
58,V894441,1013,2026-03-02 09:41:42,Closed,116,N/A,Unsafe Structures,400,,Dorchester,AV,South Boston,MA,02127,07,45 SCHOOL ST SUITE 202,,BOSTON,MA,02108,48590,42.33488382075963,-71.05640418475267,"(42.33488382075963, -71.05640418475267)"
59,V894435,1013,2026-03-02 09:11:33,Open,116,N/A,Unsafe Structures,79, ,Brooks,ST,Brighton,MA,02135,22,73 BROOKS,,BRIGHTON,MA,02135,0,,,
60,V893737,1013,2026-02-27 07:59:06,Closed,1001.3.2,N/A,Testing & Certification,62,,Alexander,ST,Dorchester,MA,02125,13,62 ALEXANDER ST,,DORCHSTER,MA,02125,1987,42.31674999986257,-71.06978000065519,"(42.31674999986257, -71.06978000065519)"
61,V893643,1013,2026-02-26 15:42:07,Open,104.6,N/A,Right of Entry,62,,Alexander,ST,Dorchester,MA,02125,13,62 ALEXANDER ST,Unit 1,DORCHSTER,MA,02125,1987,42.31674999986257,-71.06978000065519,"(42.31674999986257, -71.06978000065519)"
62,V893492,1013,2026-02-26 09:33:07,Open,102.8,N/A,Maintenance,660,,Morton,ST,Dorchester,MA,02124,14,117 OTIS ST,,MEDFORD,MA,02155,97754,42.28576999978494,-71.09292000170385,"(42.28576999978494, -71.09292000170385)"
63,V893135,1013,2026-02-25 09:10:59,Open,1001.3.2,N/A,Testing & Certification,76,,Brookline,ST,Roxbury,MA,02118,08,45 L ST,,BOSTON,MA,02127,22160,42.33778000058306,-71.07004000136517,"(42.33778000058306, -71.07004000136517)"
64,V865057,1013,2026-02-25 08:13:33,Open,105.1,N/A,Failure to Obtain Permit,48,,Mclellan,ST,Dorchester,MA,02121,14,48 MCLELLAN ST,Unit 3,DORCHESTER,MA,02121,93492,42.299980000208926,-71.08393000156543,"(42.299980000208926, -71.08393000156543)"
65,V892837,1013,2026-02-24 11:28:08,Open,102.8,N/A,Maintenance,325,,K,ST,South Boston,MA,02127,07,501 N IRVING BLVD,,LOS ANGELES,CA,90004,80577,42.332570000070895,-71.03752000106488,"(42.332570000070895, -71.03752000106488)"
66,V892801,1013,2026-02-24 09:53:16,Open,116,N/A,Unsafe Structures,691,691H,Washington,ST,Dorchester,MA,02124,17,691 WASHINGTON ST,,DORCHESTER,MA,02124,146145,42.28744000023507,-71.07143000160946,"(42.28744000023507, -71.07143000160946)"
67,V892799,1013,2026-02-24 09:43:09,Open,102.8,N/A,Maintenance,23,25,Vera,ST,Dorchester,MA,02124,17,23-25 VERA ST,,DORCHESTER,MA,02124,139943,42.27914499983997,-71.07587600165145,"(42.27914499983997, -71.07587600165145)"
68,V892789,1013,2026-02-24 08:25:43,Open,105.1,N/A,Failure to Obtain Permit,15,17,Wadsworth,ST,Allston,MA,02134,21,12 Truman Rd,,Newton,MA,02459,141275,42.354960000366624,-71.12636000124785,"(42.354960000366624, -71.12636000124785)"
69,V892411,1013,2026-02-20 14:15:21,Open,Article 4 Section 4-3,N/A,No use of premises permit:,18,,Baker,AV,Dorchester,MA,02125,15,18 Baker Ave,,Dorchester,MA,02125,7601,42.31255000002019,-71.07094000196557,"(42.31255000002019, -71.07094000196557)"
70,V892394,1013,2026-02-20 11:46:37,Open,Article 4 Section 4-3,N/A,No use of premises permit:,14,,Julian,ST,Dorchester,MA,02125,13,14 Julian St,,Dorchester,MA,02125,80293,42.31949500021157,-71.07716300169932,"(42.31949500021157, -71.07716300169932)"
71,V892391,1013,2026-02-20 11:26:21,Open,Article 4 Section 4-3,N/A,No use of premises permit:,148,150,Blue Hill,AV,Dorchester,MA,02125,13,619 Centre St,,Jamaica Plain,MA,02130,16293,42.319576000083586,-71.07748300080013,"(42.319576000083586, -71.07748300080013)"
72,V892387,1013,2026-02-20 11:13:48,Open,Article 4 Section 4-3,N/A,No use of premises permit:,18,,Julian,ST,Dorchester,MA,02125,13,619 Centre St,,Jamaica Plain,MA,02130,80296,42.31950299927592,-71.07704700196088,"(42.31950299927592, -71.07704700196088)"
73,V892385,1013,2026-02-20 10:43:46,Open,102.8,N/A,Maintenance,5,,Ashford,ST,Allston,MA,02134,21,2 GREEN ST,,WESTBOROUGH,MA,01581,5172,42.354059999700155,-71.1297400010724,"(42.354059999700155, -71.1297400010724)"
74,V892303,1013,2026-02-19 14:32:55,Open,1001.3.2,N/A,Testing & Certification,135,,Myrtle,ST,Boston,MA,02114,05,135 MYRTLE ST,,BOSTON,MA,02114,99687,42.35936000008197,-71.0696400005456,"(42.35936000008197, -71.0696400005456)"
75,V892294,1013,2026-02-19 14:07:23,Open,102.8,N/A,Maintenance,419,429,Bowdoin,ST,Dorchester,MA,02122,15,70 Holbrook Avenue,,Stoughton,MA,02072,17753,42.31042999954919,-71.06209000043704,"(42.31042999954919, -71.06209000043704)"
76,V892085,1013,2026-02-18 12:30:26,Open,1001.3.2,N/A,Testing & Certification,19,,Temple,ST,Boston,MA,02114,03,19 TEMPLE ST,,BOSTON,MA,02114,134100,42.36066499981855,-71.06382400048759,"(42.36066499981855, -71.06382400048759)"
77,V891977,1013,2026-02-18 08:41:29,Open,102.8,N/A,Maintenance,55,,Prescott,ST,Hyde Park,MA,02136,18,10 PARK PLAZA,,BOSTON,MA,02116,460452,42.23656076854047,-71.13462407263634,"(42.23656076854047, -71.13462407263634)"
78,V891811,1013,2026-02-17 13:18:33,Closed,105.1,N/A,Failure to Obtain Permit,9,,Waumbeck,ST,Dorchester,MA,02121,12,9 WAUMBECK ST,,DORCHESTER,MA,02121,146417,42.31366999980731,-71.08448000168171,"(42.31366999980731, -71.08448000168171)"
79,V891351,1013,2026-02-13 14:48:02,Open,105.1,N/A,Failure to Obtain Permit,10,,Garth,RD,West Roxbury,MA,02132,20,478 JAMAICAWAY,,JAMAICA PLAIN,MA,02130,62918,42.28883999992734,-71.15666000074516,"(42.28883999992734, -71.15666000074516)"
80,V891347,1013,2026-02-13 14:32:13,Open,102.8,N/A,Maintenance,12,,Whitman,ST,Dorchester,MA,02124,17,12 WHITMAN ST,,DORCHESTER,MA,02124,149419,42.287259999815575,-71.07695000148527,"(42.287259999815575, -71.07695000148527)"
81,V861454,1013,2026-02-13 13:39:25,Open,102.8,N/A,Maintenance,790,,Hyde Park,AV,Hyde Park,MA,02131,18,40 KNOBHILL CIRCLE,,STOUGHTON,MA,02072,166474,42.2729665894303,-71.1197542442777,"(42.2729665894303, -71.1197542442777)"
82,V850841,1013,2026-02-13 13:36:03,Open,111.1,N/A,Certificate of Occupancy,383,385,Blue Hill,AV,Dorchester,MA,02121,12,"100 HANO ST, Unit SUITE-26",,ALLSTON,MA,02134,16442,42.31168999991527,-71.0811320016302,"(42.31168999991527, -71.0811320016302)"
83,V863175,1013,2026-02-13 13:30:38,Open,102.8,N/A,Maintenance,170,,Boston,ST,Dorchester,MA,02125,07,170 BOSTON,,DORCHESTER,MA,02125,17115,42.323820000258166,-71.05980000212642,"(42.323820000258166, -71.05980000212642)"
84,V891303,1013,2026-02-13 10:18:27,Open,107.4,N/A,Failed to comply w permit term,4,8,Tileston,ST,Mattapan,MA,02136,18,11 WALNUT HILL RD,,BROOKLINE,MA,02146,136041,42.26386004265034,-71.10562962447769,"(42.26386004265034, -71.10562962447769)"
85,V891280,1013,2026-02-13 09:24:17,Closed,107.4,N/A,Failed to comply w permit term,75R,,Fuller,ST,Dorchester,MA,02124,17,75 FULLER ST,,DORCHESTER,MA,02124,460322,42.28312892588227,-71.06910610969938,"(42.28312892588227, -71.06910610969938)"
86,V891267,1013,2026-02-13 09:10:18,Open,116,N/A,Unsafe Structures,52,,Lanark,RD,Brighton,MA,02135,21,52 LANARK RD,,BRIGHTON,MA,02135,83766,42.339819999646394,-71.14663000089772,"(42.339819999646394, -71.14663000089772)"
87,V891257,1013,2026-02-13 09:00:32,Open,102.8,N/A,Maintenance,76,,Hancock,ST,Dorchester,MA,02125,13,85 NORTON ST #3,,DORCHESTER,MA,02122,68949,42.31313999988229,-71.06469000104832,"(42.31313999988229, -71.06469000104832)"
88,V891244,1013,2026-02-13 08:30:21,Closed,1001.3.2,N/A,Testing & Certification,788,,Shawmut,AV,Roxbury,MA,02119,09,78 Spring St,,Medford,MA,02155,126483,42.33120999958523,-71.08446000104958,"(42.33120999958523, -71.08446000104958)"
89,V891000,1013,2026-02-12 09:47:39,Open,105.1,N/A,Failure to Obtain Permit,23,25,Cohasset,ST,Roslindale,MA,02131,20,23 COHASSET ST,,ROSLINDALE,MA,02131,34289,42.28553999993536,-71.1306400014265,"(42.28553999993536, -71.1306400014265)"
90,V890988,1013,2026-02-12 09:17:59,Open,105.1,N/A,Failure to Obtain Permit,773A,773,Tremont,ST,Roxbury,MA,02118,09,20 WILLIAMS STREET SUITE 130,,WELLESLEY,MA,02481,170474,42.33971537180654,-71.0801414392056,"(42.33971537180654, -71.0801414392056)"
91,V890839,1013,2026-02-11 15:18:40,Closed,105.7,N/A,Placement of Permit,9,,Waumbeck,ST,Dorchester,MA,02121,12,9 WAUMBECK ST,,DORCHESTER,MA,02121,146417,42.31366999980731,-71.08448000168171,"(42.31366999980731, -71.08448000168171)"
92,V830551,1013,2026-02-11 12:53:09,Open,102.8,N/A,Maintenance,18,,Ennis,RD,Jamaica Plain,MA,02119,11,18 Ennis Rd,,Roxbury,MA,02119,54125,42.31241999929433,-71.09763000122976,"(42.31241999929433, -71.09763000122976)"
93,V830558,1013,2026-02-11 12:51:32,Open,102.8,N/A,Maintenance,439,,Walnut,AV,Jamaica Plain,MA,02119,11,439 Walnut Ave,Unit 1,Roxbury,MA,02119,141956,42.312290000417406,-71.09724000132958,"(42.312290000417406, -71.09724000132958)"
94,V877069,1013,2026-02-11 12:46:23,Open,1001.3.2,N/A,Testing & Certification,5,,Forbes,ST,Jamaica Plain,MA,02130,19,198 MT. VERNON STREET,,WEST ROXBURY,MA,02132,59214,42.322110000248344,-71.10824000147801,"(42.322110000248344, -71.10824000147801)"
95,V830564,1013,2026-02-11 12:44:41,Open,105.1,N/A,Failure to Obtain Permit,19,,Iffley,RD,Jamaica Plain,MA,02130,11,19 Iffley Rd,,Jamaica Plain,MA,02130,77968,42.31250999997033,-71.10026000136264,"(42.31250999997033, -71.10026000136264)"
96,V858126,1013,2026-02-11 12:42:59,Closed,4-3,N/A,Building or Use of Premise req,18,,Julian,ST,Dorchester,MA,02125,13,619 Centre St,,Jamaica Plain,MA,02130,80296,42.31950299927592,-71.07704700196088,"(42.31950299927592, -71.07704700196088)"
97,V868685,1013,2026-02-11 08:36:31,Open,Article 4 Section 4-3,N/A,No use of premises permit:,72,,Woodrow,AV,Dorchester,MA,02124,14,72 WOODROW AV,,DORCHESTER,MA,02124,151914,42.28761000009257,-71.08130000147442,"(42.28761000009257, -71.08130000147442)"
98,V860449,1013,2026-02-11 08:28:23,Open,102.8,N/A,Maintenance,682,,Walk Hill,ST,Mattapan,MA,02126,14,50 Prospect St,,Waltham,MA,02453,141720,42.278460000234,-71.09486000189231,"(42.278460000234, -71.09486000189231)"
99,V867872,1013,2026-02-11 08:26:30,Open,105.1,N/A,Failure to Obtain Permit,7,,Vershire,ST,West Roxbury,MA,02132,20,7 VERSHIRE ST,,WEST ROXBURY,MA,02132,140142,42.27213000005414,-71.14633000035204,"(42.27213000005414, -71.14633000035204)"
100,V867869,1013,2026-02-11 08:23:26,Open,105.1,N/A,Failure to Obtain Permit,7,,Vershire,ST,West Roxbury,MA,02132,20,7 VERSHIRE ST,,WEST ROXBURY,MA,02132,140142,42.27213000005414,-71.14633000035204,"(42.27213000005414, -71.14633000035204)"
101,V863756,1013,2026-02-11 08:21:15,Open,105.1,N/A,Failure to Obtain Permit,37,,Fairmount,ST,Dorchester,MA,02124,17,8 Roseland St,,Boston,MA,02124,55823,42.28102999934912,-71.0729900013391,"(42.28102999934912, -71.0729900013391)"
102,V836659,1013,2026-02-11 08:14:57,Open,105.1,N/A,Failure to Obtain Permit,299,,Centre,ST,Dorchester,MA,02122,16,3 Oakwood Lane,,West Bridgewater,MA,02379,28390,42.29384000060268,-71.06068000143742,"(42.29384000060268, -71.06068000143742)"
